10,###sb's### son,子息,putra,日イン
12,~ charges,支払金/～代（代金）,bayaran,イン日
13,~ day,～日（期間）,~ hari,日イン
14,~ day,～日間,~ hari,イン日
15,~ hour,～時間,~ jam,イン日
16,~ hour,～時間,~ jam,日イン
17,~ ly,～的/の方法で,secara ~,イン日
18,~ style,～風（ふう）,ala,イン日
19,~ times,～倍,~ kali lipat,日イン
20,~-like,～的（～のような）,seperti ~,日イン
21,~-like,如し/～的（～のような）/～みたい,seperti,イン日
22,~'s,～代（年代）,-an,イン日
23,~'s,～代（年代）,-an,日イン
24,~-shaped,形が～な,berbentuk,イン日
25,~-story,～階ある/階層がある,bertingkat,イン日
26,~-teen,十～,belas,イン日
27,~-th,～日（日付）,tanggal ~,日イン
28,~-ties,数十の/何十もの/～十代/～十台,puluhan,イン日
29,~-ty,～十,puluh,イン日
30,~-wise,～的（～の観点）,secara ~,日イン
31,a,1/ある～/同じ/全～/～中（じゅう）,satu,イン日
32,a,ある～,suatu,イン日
33,a bad harvest,不作,gagal panén,イン日
34,a brief moment of time,つかの間/ごく短い時間,sesaat,イン日
36,a cooking stove,かまど,tungku,イン日
37,a copy cat,模倣者/真似する人,peniru,イン日
38,a cup of,一杯,segelas,イン日
39,a cup of,一杯,segelas,日イン
40,a day,一日,sehari,イン日
41,a day,一日,sehari,日イン
42,a few,少し,sedikit,日イン
43,a few,少ない/少し/やや,sedikit,イン日
44,a glance,ちらっと（見る）/ざっと（説明する）,sepintas lalu,イン日
45,a great many,おびただしい,berlimpah,イン日
46,a great many,おびただしい,berlimpah,日イン
47,a group of,～のグループ/～の集団,sekumpulan,イン日
48,a hundred million,億,seratus juta,日イン
49,a kind of,～の一種/同種の,sejenis,イン日
50,a large number,多数,mayoritas,日イン
51,a large number,大方/過半数/多数,mayoritas,イン日
52,a large quantity,大量,jumlah besar,日イン
53,a little,ちょっと,sedikit,日イン
54,a little,少ない/少し/やや,sedikit,イン日
55,a little bit,やや,sedikit,日イン
56,a little while ago,さっき,tadi,日イン
57,a little while ago,先程,baru saja,日イン
58,a lot,たくさん（の）/とても,banyak-banyak,イン日
59,a marriage proposal,縁談,perjodohan,日イン
60,a marriage proposal,縁談/見合い,perjodohan,イン日
61,a matter of course,当り前（な）,wajar,イン日
63,a moment,ちょっと（の間）,sejurus,イン日
64,a Muslim woman,女性のイスラム教徒,muslimat,イン日
65,a pair,一対（の）/一組（の）,sepasang,イン日
66,a piece,～切れ,~ potong,日イン
67,a piece,切る/～切れ,potong,イン日
68,a printing type,活字,huruf cétak,イン日
69,a printing type,活字,huruf cétak,日イン
70,a real feeling,実感,perasaan,日イン
71,a scatter,まき散らし,taburan,イン日
72,a section head,課長,kepala bagian,日イン
73,a sense of direction,方向感覚,mengerti arah,日イン
74,a sense of honor,道義心/良心/純粋な気持ち,nurani,イン日
75,a set of,揃い,réntétan,イン日
77,a sharped-well formed nose,鼻が高い,mancung,イン日
78,a sheet,一枚,sehelai,イン日
79,a small amount,少量,sedikit,日イン
80,a small number,少数,jumlah yang sedikit,日イン
81,a small number of,少数の,segelintir,イン日
83,a sum of,全部で～の/（数量が）～の/いくらかの,sejumlah,イン日
84,a walk,散歩,jalan-jalan,イン日
85,a walk,散歩,jalan-jalan,日イン
86,a week,一週間,seminggu,イン日
87,a week,一週間,seminggu,日イン
88,a whore,売春婦,wanita tuna susila,イン日
89,a year,一年/年間,setahun,イン日
90,A.D.,西暦,maséhi,イン日
91,A.D.,西暦,maséhi,日イン
92,a.m.,午前,pagi,日イン
93,abacus,そろばん,sempoa,日イン
94,abalone,アワビ,abalon,イン日
95,abalone,アワビ,abalon,日イン
97,abandonment,諦め,penyerahan,日イン
98,abandonment,放棄,pembuangan (hak),日イン
99,abandonment,放置,pembiaran,イン日
100,abandonment,放置,penelantaran,日イン
101,abbreviation,省略,penyingkatan,日イン
102,abbreviation,省略（短縮）/略語,singkatan,イン日
103,abbreviation,略語,singkatan,日イン
104,abduction,誘拐,penculikan,日イン
105,abduction,誘拐/拉致,penculikan,イン日
106,ability,技能/熟練/能力,kemahiran,イン日
107,ability,技量,keterampilan,日イン
108,ability,実力,kemampuan sendiri,日イン
109,ability,能力,kesanggupan,イン日
110,ability,能力,kemampuan,日イン
111,ability,能力/財力,kemampuan,イン日
112,ability,腕前/技/能力,kepandaian,イン日
113,able,できる/～する覚悟がある,sanggup,イン日
114,abnormal,異常,kelainan,イン日
115,abnormal,異常な,abnormal,イン日
116,abnormal,異常な,keabnormalan,日イン
117,abnormality,異常,abnormal,日イン
118,abnormality,異常さ,keabnormalan,イン日
119,abolition,廃止,penghapusan,日イン
121,about,～について,perihal,イン日
123,about,～について/反対する/反抗する/対戦する,tentang,イン日
124,about,およそ/～ぐらい/約～,kurang lebih,イン日
125,about,だいたい/約/計算,kira-kira,イン日
127,about,関する（～について）,tentang ~,日イン
128,about,惜しい/近い/ほとんど/～しかける/ほぼ,hampir,イン日
129,about,程,kira-kira,日イン
130,about,辺り/付近/周り/周囲,sekitar,イン日
132,above all,何より,terlebih-lebih,日イン
133,above all,中でも/とりわけ/そのうちいくつか,antaranya,イン日
134,above sea level,海抜,ketinggian permukaan laut,日イン
135,above sea level,海抜（かいばつ）,di atas permukaan laut,イン日
136,abrupt,急激な,pesat,日イン
137,abrupt,急激な/急速な,pesat,イン日
138,abruptness,急激,drastis,イン日
139,abruptness,急激,drastis,日イン
140,absence,休み（欠席・欠勤）,absén,日イン
141,absence,休み/休む/欠席〈欠勤〉（する）,absén,イン日
142,absence,欠席,ketidakhadiran,日イン
143,absence,欠如/不在/無さ,ketiadaan,イン日
144,absence,不在,tidak ada di tempat,日イン
145,absence,不在/欠席/休み,ketidakhadiran,イン日
146,absence from home,留守,tidak di rumah,日イン
147,absence from work,欠勤,tidak masuknya kerja,日イン
148,absent,休み/休む/欠席〈欠勤〉（する）,absén,イン日
149,absent-mindedly,ぼう然,terpana,イン日
150,absent-mindedly,ぼう然と,terpana,日イン
151,absolute,絶対的,mutlak,イン日
152,absolute,絶対的,mutlak,日イン
154,absolutely,実に/正しい/正解/なるほど,benar,イン日
155,absolutely,正解/なるほど,betul,イン日
156,absolutely,絶対,kemutlakan,日イン
157,absorbent cotton,脱脂綿,kapas pembalut,日イン
158,absorption,吸収,penyerapan,イン日
159,absorption,吸収,penyerapan,日イン
160,abstain,棄権する（投票）,abstain,イン日
